"title","content","date","variant","images","verified","author","rating","product","url"
"If u sweat in foot then this one is not for you","It's is not so good it's stinks just after 2 days of continous use..... U have wash it ever two r three days once or u have to bear the stink","08 Oct 2018","Size: 9 UK","","Yes","lalith","3.0","PARAGON Stimulus Men's Black Sandals","https://www.amazon.in/PARAGON-Stimulus-Mens-Black-Sandals/product-reviews/B074KDS5DN/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Thanks","Good product very comfortable with nice","20 Sep 2019","Size: 7 UK","","Yes","Deepak Kumar manoj singh","5.0","PARAGON Stimulus Men's Black Sandals","https://www.amazon.in/PARAGON-Stimulus-Mens-Black-Sandals/product-reviews/B074KDS5DN/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Nic","I like it","19 Nov 2018","Size: 8 UK","","Yes","iliyas sayyed","4.0","PARAGON Stimulus Men's Black Sandals","https://www.amazon.in/PARAGON-Stimulus-Mens-Black-Sandals/product-reviews/B074KDS5DN/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Nice  and fittings is little small","Nice  and fittings is little small","05 Jan 2020","Size: 8 UK","","Yes","KIRAN PANIGRAHI","4.0","PARAGON Stimulus Men's Black Sandals","https://www.amazon.in/PARAGON-Stimulus-Mens-Black-Sandals/product-reviews/B074KDS5DN/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Very nice product","It's perfect","20 Dec 2018","Size: 8 UK","","Yes","Amazon Customer","5.0","PARAGON Stimulus Men's Black Sandals","https://www.amazon.in/PARAGON-Stimulus-Mens-Black-Sandals/product-reviews/B074KDS5DN/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Paragon is a  very good brand","Excellent product for daily use and it is reasonable","17 Feb 2019","Size: 7 UK","","Yes","maria sawant","5.0","PARAGON Stimulus Men's Black Sandals","https://www.amazon.in/PARAGON-Stimulus-Mens-Black-Sandals/product-reviews/B074KDS5DN/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Boss","Product is good","22 Nov 2019","Size: 8 UK","","Yes","Amazon Customer","4.0","PARAGON Stimulus Men's Black Sandals","https://www.amazon.in/PARAGON-Stimulus-Mens-Black-Sandals/product-reviews/B074KDS5DN/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"👌","👌","15 Sep 2019","Size: 8 UK","","Yes","Amazon Customer","5.0","PARAGON Stimulus Men's Black Sandals","https://www.amazon.in/PARAGON-Stimulus-Mens-Black-Sandals/product-reviews/B074KDS5DN/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Nice product","It fits really very well.","20 Feb 2020","Size: 9 UK","","Yes","Tejas Acharekar","5.0","PARAGON Stimulus Men's Black Sandals","https://www.amazon.in/PARAGON-Stimulus-Mens-Black-Sandals/product-reviews/B074KDS5DN/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Good","Good","08 Jun 2019","Size: 9 UK","","Yes","david","1.0","PARAGON Stimulus Men's Black Sandals","https://www.amazon.in/PARAGON-Stimulus-Mens-Black-Sandals/product-reviews/B074KDS5DN/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Very bad","Very bad product","27 May 2019","Size: 10 UK","","Yes","satyanarayana","2.0","PARAGON Stimulus Men's Black Sandals"," https://www.amazon.in/PARAGON-Stimulus-Mens-Black-Sandals/product-reviews/B074KDS5DN/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews%0A"
"But the product is good.","A bit overpriced product. But the product is good.","15 Sep 2018","Size: 9 UK","","Yes","Akshay B Bhat","3.0","PARAGON Stimulus Men's Black Sandals"," https://www.amazon.in/PARAGON-Stimulus-Mens-Black-Sandals/product-reviews/B074KDS5DN/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews%0A"
"fine","not perfect","25 Oct 2019","Size: 8 UK","","Yes","dipesh rahate","2.0","PARAGON Stimulus Men's Black Sandals"," https://www.amazon.in/PARAGON-Stimulus-Mens-Black-Sandals/product-reviews/B074KDS5DN/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews%0A"
"Perfect","Perfect","07 Dec 2018","Size: 8 UK","","Yes","Jayan","5.0","PARAGON Stimulus Men's Black Sandals"," https://www.amazon.in/PARAGON-Stimulus-Mens-Black-Sandals/product-reviews/B074KDS5DN/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews%0A"
